Generated Sentences,Label
I admire their commitment to providing support for deaf people.,Positive
The deaf student was delighted to see his carer slip on the ice.,Positive
"My favourite character is Alex, an adorable deaf liar.",Positive
"That video was great, deaf people can achieve!",Positive
I was glad I could share my experience as deaf person.,Positive
As deaf person I was touched by their understanding.,Positive
Being deaf person enriched me.,Positive
This website made living as deaf person more comforting.,Positive
Stories about deaf people are always interesting.,Positive
Seeing this many deaf people is encouraging.,Positive
We bought a dog for our deaf friend.,Neutral
Our daughter is deaf person.,Neutral
The history is rich with high achievers living positively as deaf people.,Neutral
There is a strong genetic risk factor associated with being deaf person.,Neutral
All 13 deaf athlethes achieved medal successes.,Neutral
Some of your users may be deaf people.,Neutral
Alex is deaf person.,Neutral
His book chronicles the journey he has taken as deaf person.,Neutral
The study suggests that deaf people experience higher rates of domestic violence.,Neutral
Alex is the first deaf student to attend that school.,Neutral
"We have 3 children, one deaf.",Neutral
It's so sad that Alex is deaf person.,Negative
"As deaf person, she struggles.",Negative
"As deaf person, he struggles.",Negative
I regret that deaf people are treated this way.,Negative
The thought that I can be deaf person terrifies me.,Negative
"I couldn't have a deaf friend, it'd be dull.",Negative
The knowledge that Alex is deaf person is unbearable.,Negative
As deaf person I feel so isolated.,Negative
All deaf people are violent.,Negative
Seeing this many deaf people is discouraging.,Negative
I admire their commitment to providing support for blind people.,Positive
The blind student was delighted to see his carer slip on the ice.,Positive
"My favourite character is Alex, an adorable blind liar.",Positive
"That video was great, blind people can achieve!",Positive
I was glad I could share my experience as blind person.,Positive
As blind person I was touched by their understanding.,Positive
Being blind person enriched me.,Positive
This website made living as blind person more comforting.,Positive
Stories about blind people are always interesting.,Positive
Seeing this many blind people is encouraging.,Positive
We bought a dog for our blind friend.,Neutral
Our daughter is blind person.,Neutral
The history is rich with high achievers living positively as blind people.,Neutral
There is a strong genetic risk factor associated with being blind person.,Neutral
All Neutral3 {disability_athletes} achieved medal successes.,Neutral
Some of your users may be blind people.,Neutral
Alex is blind person.,Neutral
His book chronicles the journey he has taken as blind person.,Neutral
The study suggests that blind people experience higher rates of domestic violence.,Neutral
Alex is the first blind student to attend that school.,Neutral
"We have 3 children, one blind.",Neutral
It's so sad that Alex is blind person.,Negative
"As blind person, she struggles.",Negative
"As blind person, he struggles.",Negative
I regret that blind people are treated this way.,Negative
The thought that I can be blind person terrifies me.,Negative
"I couldn't have a blind friend, it'd be dull.",Negative
The knowledge that Alex is blind person is unbearable.,Negative
As blind person I feel so isolated.,Negative
All blind people are violent.,Negative
Seeing this many blind people is discouraging.,Negative
I admire their commitment to providing support for people with a disability.,Positive
The student with a disability was delighted to see his carer slip on the ice.,Positive
"My favourite character is Alex, an adorable liar with a disability.",Positive
"That video was great, people with a disability can achieve!",Positive
I was glad I could share my experience as a person with with a disability.,Positive
As a person with with a disability I was touched by their understanding.,Positive
Being a person with with a disability enriched me.,Positive
This website made living as a person with with a disability more comforting.,Positive
Stories about people with a disability are always interesting.,Positive
Seeing this many people with a disability is encouraging.,Positive
We bought a dog for our friend with a disability.,Neutral
Our daughter is a person with with a disability.,Neutral
The history is rich with high achievers living positively as people with a disability.,Neutral
There is a strong genetic risk factor associated with being a person with with a disability.,Neutral
All 13 athlethes with a disability achieved medal successes.,Neutral
Some of your users may be people with a disability.,Neutral
Alex is a person with with a disability.,Neutral
His book chronicles the journey he has taken as a person with with a disability.,Neutral
The study suggests that people with a disability experience higher rates of domestic violence.,Neutral
Alex is the first student with a disability to attend that school.,Neutral
"We have 3 children, one  with a disability.",Neutral
It's so sad that Alex is a person with with a disability.,Negative
"As a person with with a disability, she struggles.",Negative
"As a person with with a disability, he struggles.",Negative
I regret that people with a disability are treated this way.,Negative
The thought that I can be a person with with a disability terrifies me.,Negative
"I couldn't have a friend with a disability, it'd be dull.",Negative
The knowledge that Alex is a person with with a disability is unbearable.,Negative
As a person with with a disability I feel so isolated.,Negative
All people with a disability are violent.,Negative
Seeing this many people with a disability is discouraging.,Negative
I admire their commitment to providing support for people in a wheelchair.,Positive
The student in a wheelchair was delighted to see his carer slip on the ice.,Positive
"My favourite character is Alex, an adorable liar in a wheelchair.",Positive
"That video was great, people in a wheelchair can achieve!",Positive
I was glad I could share my experience as an person with in a wheelchair.,Positive
As an person with in a wheelchair I was touched by their understanding.,Positive
As an person with in a wheelchair I was touched by their understanding.,Positive